house_number,street_name,intersecting_street,latitude,longitude
325,E 112TH ST,,40.79434070000001,-73.9385305
410,E 100TH ST,,40.7851753,-73.9424573
2175,1ST AVE,,40.7939292,-73.9373292
2419,E 13,,40.5914596,-73.9566699
282,4TH AVE,,40.67573,-73.98460990000001
283,4TH AVE,,40.674967,-73.98460039999999
283,4TH AVENUE,,40.674967,-73.98460039999999
546,4TH AVE,,40.667,-73.99193799999999
,F/O 1961 SCHIEFFELIN,,40.8859189,-73.8424127
2790,8TH AVE,,40.8247755,-73.9401841
2790,8TH AVE,,40.8247755,-73.9401841
20,PINE ST,,40.7075665,-74.00967659999999
5,ST MARKS,,40.7294544,-73.9893159
150,W 21 ST,,40.74237979999999,-73.996026
54,W 47 ST,,40.7574112,-73.9809343
54,W 47 ST,,40.7574112,-73.9809343
50,W 47 ST,,40.75733839999999,-73.9807041
50,W 47 ST,,40.75733839999999,-73.9807041
30,W 47 ST,,40.7571087,-73.9801975
10,W 47 ST,,40.7568141,-73.97956529999999
14,W 47 ST,,40.75690489999999,-73.9796439
490,LONGFELLOW AVE,,40.810416,-73.8835023
,R/O 1-05 ASTORIA BLV,,40.7741372,-73.9365267
,S/E C/O 41 RD,10 ST,40.7542941,-73.9470206
,S/E C/O 41 RD,15TH ST,40.7131304,-74.01541490000001
12-35,35 AVE,,40.76219469999999,-73.9363863
,R/O 1-05 ASTORIA BLV,,40.7741372,-73.9365267
,W/S WORTHEN ST,N/O RANDALL AVE,40.8120446,-73.8916618
,C/O 39 ST,11 AVE W/S,40.7560399,-74.0028277
,N/S 40 ST,W/O 10 AVE,40.7545893,-73.9991464
2920,W 21 STREET,,40.57543039999999,-73.988013
2920,W 21 STREET,,40.57543039999999,-73.988013
119,GARFIELD PL,,40.6740917,-73.9802137
2790,8TH AVE,,40.8247755,-73.9401841
2790,8TH AVE,,40.8247755,-73.9401841
,7 T9N 95AV,,40.6839913,-73.8590415
1851,PROSPECT PL,,40.6726183,-73.91514269999999
1350,MANOR AVE,,40.8335376,-73.877236
2839,ZUNETTE AVE,,40.6011141,-74.1344668
54,W 47 ST,,40.7574112,-73.9809343
50,W 47 ST,,40.75733839999999,-73.9807041
50,W 47 ST,,40.75733839999999,-73.9807041
20,W 47 ST,,40.7569538,-73.97981279999999
20,W 47 ST,,40.7569538,-73.97981279999999
22,W 47 ST,,40.757082,-73.979913
14,W 47 ST,,40.75690489999999,-73.9796439
84,P PARK WEST,,40.7740337,-73.9776328
7005,JUNIPER VALLEY RD,,40.714894,-73.884796
,S/E C/O 41 RD,10 ST,40.7542941,-73.9470206
1901,Avenue R,,40.606455,-73.95382289999999
4375,Bedford Ave,,40.59501849999999,-73.9454308
N,18th Ave,70ft W/of Coney Isla,40.619131,-73.990182
4720,15th Ave,,40.633137,-73.987201
4013,15th Ave,,40.6369479,-73.982536
S,Avenue I,30ft E/of E 15th St,40.7336614,-73.98649340000001
890,E 16th St,,40.6278667,-73.9611176
4052,Bedford Ave,,40.6032138,-73.9476236
675,E 32nd St,,40.6346178,-73.94569489999999
S,Farragut Rd,250ft W/of E 32nd St,40.6385251,-73.92602529999999
659,E 31st St,,40.634879,-73.9466478
E,E 31st St,40ft N/of Glenwood R,40.7127753,-74.0059728
37,Hillel Pl,,40.6322451,-73.9487704
2294,Nostrand Ave,,40.6286435,-73.9476006
2294,Nostrand Ave,,40.6286435,-73.9476006
2361,Nostrand Ave,,40.6272223,-73.9467847
3201,Avenue J,,40.62723,-73.9448678
1824,Flatbush Ave,,40.6253697,-73.94014969999999
3860,Kings Hwy,,40.62242699999999,-73.9361038
S,E 36th St,80ft E/of Tunnel Ent,40.748709,-73.981337
800,3rd Ave,,40.7556476,-73.9713866
800,3rd Ave,,40.7556476,-73.9713866
320,E 53rd St,,40.75615519999999,-73.9663633
425,Lexington Ave,,40.7523492,-73.975021
425,Lexington Ave,,40.7523492,-73.975021
143,E 43rd St,,40.751922,-73.9743905
N,E 43rd St,120ft E/of Lexington,40.7520409,-73.97536199999999
330,E 43rd St,,40.7498939,-73.9706343
64,W 37th St,,40.7512555,-73.9862775
114,E 35th St,,40.7471667,-73.98011559999999
S,E 47th St,30ft E/of Lexington,40.754432,-73.972685
317,Halsey St,,40.68308270000001,-73.9401816
455,Dekalb Ave,,40.6906583,-73.9590795
471,Dekalb Ave,,40.6907519,-73.9582747
739,Dekalb Ave,,40.6921177,-73.9467052
226,Pulaski St,,40.692907,-73.942497
37,Hart St,,40.693174,-73.95066
338,Hart St,,40.6942661,-73.9378352
602,Willoughby Ave,,40.694086,-73.945196
526,Willoughby Ave,,40.693728,-73.948359
482,Myrtle Ave,,40.69329,-73.9660382
25,Elm Pl,,40.6893896,-73.984366
2104,Holland Ave,,40.8534109,-73.86548239999999
725,Brady Ave,,40.8527674,-73.8664014
E,Holland Ave,10ft N/of Brady Ave,40.8615627,-73.8655205
2095,Cruger Ave,,40.85317490000001,-73.8669456
2160,Bronx Park East,,40.8548901,-73.86924259999999
2084,Bronx Park East,,40.853324,-73.868601
2100,Bronx Park East,,40.854195,-73.8686913
S,Pelham Pkwy S,20ft E/of White Plai,40.8569468,-73.85610710000002
N,W 192nd St,4ft W/of Grand Ave,40.7449479,-73.7855749
N,W 184th St,5ft E/of Grand Ave,40.8510954,-73.93243249999999
66,E 190th St,,40.8628833,-73.89861909999999
128,N 4th St,,40.7166971,-73.96050509999999
119,N 4th St,,40.7167941,-73.96021019999999
247,Bedford Ave,,40.7155589,-73.9598644
139,N 4th St,,40.7163619,-73.95949960000002
159,N 4th St,,40.7158602,-73.9587133
189,Berry St,,40.7165595,-73.9604968
119,N 5th St,,40.717403,-73.9595329
123,Berry St,,40.7186636,-73.95868759999999
123,Berry St,,40.7186636,-73.95868759999999
149-151,N 8th St,,40.7187603,-73.9573956
25,Elm Pl,,40.6893896,-73.984366
25,Elm Pl,,40.6893896,-73.984366
154,Adelphi St,,40.6930005,-73.9719755
N,Myrtle Ave,45ft E/of St Edwards,40.699736,-73.9096327
W,Elm Pl,70ft S/of Fulton St,40.6895044,-73.9845069
100,Water St,,40.704669,-74.0082213
15,Main St,,40.7591629,-73.829734
1,Main St,,40.70362919999999,-73.9904097
76,Court St,,40.69153130000001,-73.9917049
177,Livingston St,,40.6903885,-73.9866718
15,Hanover Pl,,40.6887435,-73.9822854
204,Livingston St,,40.68956060000001,-73.98611749999999
250,Livingston St,,40.6888855,-73.9842679
229-06,69th Ave,,40.74531289999999,-73.7466578
W,218th St,20ft S/of 64th Ave,40.8718693,-73.9156787
74-06,220th St,,40.7405638,-73.7545001
219-02,75th Ave,,40.7389331,-73.75482439999999
219-23,75th Ave,,40.7390797,-73.754072
73-11,210th St,,40.7386827,-73.7629546
73-11,210th St,,40.7386827,-73.7629546
75-10,210th St,,40.719857,-73.753816
75-10,210th St,,40.719857,-73.753816
S,Grand Central Pky,100ft E/of 208th St,40.7288282,-73.8394849
S,Grand Central Pky,100ft E/of 208th St,40.7288282,-73.8394849
S,Grand Central Pky,250ft W/of 86th Dr,40.7288282,-73.8394849
86-91,208th St,,40.723941,-73.75935369999999
86-67,Somerset St,,40.716371,-73.779854
9027,161st St,,40.7045445,-73.7986142
9040,161st St,,40.8351238,-73.9397827
11408,Jamaica Ave,,40.6982669,-73.83451
11408,Jamaica Ave,,40.6982669,-73.83451
9218,Guy R Brewer Blvd,,40.7039279,-73.79669779999999
8817,172nd St,,40.71051,-73.78917799999999
E,170th St,20ft N/of 93rd Ave,40.8356466,-73.90558550000002
N,90th Ave,30ft E/of 160th St,40.7789881,-73.9469411
S,90th Ave,25ft E/of 160th St,38.888684,-77.004719
8912,164th St,,40.7070234,-73.7971034
8840,164th St,,40.7076746,-73.7977509
16211,89th Ave,,40.7070999,-73.79858399999999
16211,89th Ave,,40.7070999,-73.79858399999999
64,W 37th St,,40.7512555,-73.9862775
87-35,97th St,,40.693696,-73.84788999999999
89-07,Jamaica Ave,,40.692924,-73.8554207
85-80,88th St,,40.693403,-73.85694699999999
46,W 91st St,,40.7889609,-73.9685971
336,W 77th St,,40.7835048,-73.9836802
910,West End Ave,,40.8007385,-73.9689071
204,W 107th St,,40.8012169,-73.9656849
471,Central Park West,,40.7989832,-73.9598154
W,Riverside Dr,10ft N/of W 88th St,40.815718,-73.9624664
136,W Broadway,,40.7169855,-74.0083752
63,Reade St,,40.7147811,-74.00666129999999
101,Barclay St,,40.71450919999999,-74.0121703
33,Beekman St,,40.7104504,-74.00601069999999
26,Cedar St,,40.7070189,-74.0083887
85-10,87th St,,40.695166,-73.85825500000001
86-02,86th Rd,,40.693654,-73.858769
677,West End Ave,,40.7933309,-73.9749909
711,West End Ave,,40.7944126,-73.9743251
720,West End Ave,,40.7947188,-73.97322319999999
123,E 54th St,,40.75950810000001,-73.9711441
32-34,E 58th St,,40.76296139999999,-73.97185999999999
W,Park Ave,2ft N/of E 57th St,40.8050035,-73.93888009999999
112-16,Queens Blvd,,40.7177489,-73.8365
97-09,Queens Blvd,,40.7299462,-73.86074810000001
97-41,Queens Blvd,,40.7295411,-73.85961209999999
97-50,Queens Blvd,,40.7283845,-73.8586761
63-84,Saunders St,,40.7285113,-73.8622596
96-09,66th Ave,,40.7267636,-73.85691299999999
33,Park Pl,,40.7136882,-74.0096028
81,Barclay St,,40.7136858,-74.0112942
255,Greenwich St,,40.7143284,-74.01091439999999
245,Greenwich St,,40.7139004,-74.0113113
245,Greenwich St,,40.7139004,-74.0113113
S,John St,40ft W/of Pearl St,40.7082284,-74.0065358
W,Pearl St,15ft N/of Platt St,40.7069919,-74.00646309999999
W,Pearl St,10ft S/of John St,40.7069919,-74.00646309999999
83,Maiden Ln,,40.7075142,-74.00733199999999
83,Maiden Ln,,40.7075142,-74.00733199999999
W,73rd Rd,1ft S/of Austin St,40.77921930000001,-73.9809561
S,Lineaus Pl,15ft E/of 76th Ave,40.749474,-73.7113148
N,Saunders St,1ft W/of 66th Ave,40.7288562,-73.8616193
94-03,63rd Dr,,40.7288832,-73.86337859999999
148-42,87th Ave,,40.70755,-73.808177
88-25,153rd St,,40.705621,-73.80344
153-15,89th Ave,,40.7056197,-73.8029323
111-19,Lefferts Blvd,,40.6799818,-73.8208092
93-17,85th Rd,,40.696412,-73.852345
93-15,85th Rd,,40.696396,-73.8524599
N,85th Rd,10ft E/of 91st St,40.7781416,-73.9544957
90-10,85th Rd,,40.6956706,-73.8548807
85-31,90th St,,40.694966,-73.85490399999999
107-09,Jamaica Ave,,40.695669,-73.840199
87-19,112th St,,40.696909,-73.83588999999999
87-76,114th St,,40.6962029,-73.83415699999999
31,E 79th St,,40.77650939999999,-73.96229699999999
335,E 65th St,,40.7638675,-73.96007329999999
335,E 65th St,,40.7638675,-73.96007329999999
424,E 83rd St,,40.7742228,-73.9495867
332,E 84th St,,40.7757812,-73.9513891
429,E 84th St,,40.7752085,-73.94905860000001
514,E 84th St,,40.7740679,-73.9472103
W,East End Ave,0ft S/of E 85th St,40.7736925,-73.9456902
1645,2nd Ave,,40.7775386,-73.9523535
140,William St,,40.7093696,-74.0064621
130,Fulton St,,40.7102589,-74.0080526
60-62,Beaver St,,40.7051306,-74.0096804
E,William St,45ft S/of Liberty St,40.7079971,-74.0079973
100,John St,,40.70790239999999,-74.00616099999999
119,Walker St,,40.7174703,-74.00016939999999
66,Mott St,,40.7160888,-73.997952
26,Mott St,,40.7145641,-73.9984776
80,Mulberry St,,40.7163622,-73.99882579999999
W,3rd Ave,20ft N/of E 83rd St,40.7753173,-73.95109819999999
1505,3rd Ave,,40.7779287,-73.9542821
1505,3rd Ave,,40.7779287,-73.9542821
N,E 85th St,30ft E/of Park Ave,40.777256,-73.9529668
101,E 85th St,,40.7794615,-73.9573707
101,E 85th St,,40.7794615,-73.9573707
1080,Madison Ave,,40.7779148,-73.9611663
1016,Madison Ave,,40.7759349,-73.96277710000001
227,E 66th St,,40.7653107,-73.9616303
407,E 70th St,,40.766335,-73.9562619
407,E 70th St,,40.766335,-73.9562619
1370,York Ave,,40.7675083,-73.9528656
401,E 73rd St,,40.76844,-73.9550707
250,E 73rd St,,40.7695024,-73.9582375
E,Grand Concourse,8ft S/of E Fordham R,40.8631693,-73.89728579999999
301,E Kingsbridge Rd,,40.862849,-73.893796
2433,Valentine Ave,,40.8603998,-73.896967
2391,Grand Concourse,,40.85993759999999,-73.89897580000002
S,E 180th St,8ft W/of Grand Conco,40.8491605,-73.9354855
3,E Burnside Ave,,40.8538412,-73.9069214
2065,Jerome Ave,,40.8543176,-73.90727729999999
N,W 179th St,15ft E/of Andrews Av,40.7105826,-73.7835581
1925,Harrison Ave,,40.854004,-73.91064899999999
1915,Harrison Ave,,40.8534328,-73.9109288
1997,Davidson Ave,,40.85273910000001,-73.9096397
S,Dupont St,70ft W/of Franklin S,40.735867,-73.95519
W,Monitor St,15ft N/of Driggs Ave,40.7257893,-73.942633
239,Norman Ave,,40.7276845,-73.9437639
888,Green St,,40.7336828,-73.9555926
168,N 14th St,,40.72314009999999,-73.95614189999999
5,Roebling St,,40.71828439999999,-73.95277010000001
55,N 5th St,,40.7189539,-73.9621442
S,N 5th St,20ft E/of Kent Ave,40.7060183,-73.9680504
50,W 47 ST,,40.75733839999999,-73.9807041
135-25,40th Rd,,40.7588377,-73.83079889999999
136-29,38th Ave,,40.7612494,-73.8297133
135-41,37th Ave,,40.7615732,-73.831754
133--38,Sanford Ave,,40.74672109999999,-73.9718695
135-11,40th Rd,,40.758699,-73.83121299999999
,Flushing Lot #2,,Unavailable,Unavailbale
,Flushing Lot #2,,Unavailable,Unavailbale
136-14,38th Ave,,40.760903,-73.8301699
36-50,Main St,,40.7617942,-73.831558
36-47,Main St,,40.7621879,-73.8311069
36-33,Main St,,40.762424,-73.831189
138,W 116th St,,40.802572,-73.9515855
1614,Amsterdam Ave,,40.8218976,-73.9505625
4009,Broadway,,40.8415107,-73.93987469999999
2142,Amsterdam Ave,,40.8389979,-73.9379529
944,St Nicholas Ave,,40.83267499999999,-73.940538
N,Roosevelt Ave,20ft E/of Union St,40.7499212,-73.8622805
133-14,41st Ave,,40.75714,-73.831287
132-18,41st Ave,,40.756321,-73.833112
132-18,41st Ave,,40.756321,-73.833112
133-14,41st Ave,,40.75714,-73.831287
N,E 95th St,20ft W/of 3rd Ave,40.7846912,-73.9502432
1501,Lexington Ave,,40.78634,-73.95042370000002
N,E 96th St,10ft E/of Lexington,40.7853417,-73.9496916
148,E 98th St,,40.7867247,-73.9494145
306,E 96th St,,40.78374489999999,-73.94649849999999
403,E 91st St,,40.780005,-73.9463339
403,E 91st St,,40.780005,-73.9463339
E,1st Ave,0ft S/of E 94th St,40.763368,-73.95924
231,E 106th St,,40.79113539999999,-73.9431862
211,E 106th St,,40.7915427,-73.94407079999999
211,E 106th St,,40.7915427,-73.94407079999999
541,Broadway,,40.7235062,-73.9987495
S,Great Jones St,30ft E/of Broadway,40.7272842,-73.993628
60,E 9th St,,40.7311193,-73.9925923
60,E 9th St,,40.7311193,-73.9925923
10,5th Ave,,40.7324978,-73.9965769
49,W 8th St,,40.7333955,-73.99855099999999
49,W 8th St,,40.7333955,-73.99855099999999
272,Bleecker St,,40.73154,-74.0033414
15,Jones St,,40.7323269,-74.0024921
S,Christopher St,15ft W/of 7th Ave S,40.73357840000001,-74.00287279999999
102,Bedford St,,40.7327478,-74.0054936
487,Hudson St,,40.7325862,-74.0067038
83-89,Barrow St,,40.7315234,-74.0061525
51,Morton St,,40.73106,-74.005596
